Jaccard Index Report
====================

TTP: process injection, T1055 - CWE-119: 1.0000 (Total CWE: 42, Total TTP: 1)
TTP: remote system discovery, T1018 - CWE-732: 1.0000 (Total CWE: 2, Total TTP: 1)
TTP: remote system discovery, T1018 - CWE-22: 1.0000 (Total CWE: 6, Total TTP: 1)
TTP: system network configuration discovery, T1016 - CWE-732: 1.0000 (Total CWE: 2, Total TTP: 1)
TTP: system network configuration discovery, T1016 - CWE-22: 1.0000 (Total CWE: 6, Total TTP: 1)
TTP: data from local system, T1005 - CWE-94: 1.0000 (Total CWE: 13, Total TTP: 1)
TTP: data from local system, T1005 - CWE-20: 1.0000 (Total CWE: 33, Total TTP: 1)
TTP: data from local system, T1005 - CWE-22: 1.0000 (Total CWE: 6, Total TTP: 1)
TTP: exploitation for client execution, T1203 - CWE-94: 1.0000 (Total CWE: 13, Total TTP: 1)
TTP: exploitation for client execution, T1203 - CWE-20: 1.0000 (Total CWE: 33, Total TTP: 1)
TTP: exploitation for client execution, T1203 - CWE-22: 1.0000 (Total CWE: 6, Total TTP: 1)
TTP: user execution, T1204 - CWE-94: 1.0000 (Total CWE: 13, Total TTP: 1)
TTP: user execution, T1204 - CWE-20: 1.0000 (Total CWE: 33, Total TTP: 1)
TTP: user execution, T1204 - CWE-22: 1.0000 (Total CWE: 6, Total TTP: 1)
TTP: web service, T1102 - CWE-20: 1.0000 (Total CWE: 33, Total TTP: 3)
TTP: data manipulation, T1565 - CWE-119: 1.0000 (Total CWE: 42, Total TTP: 1)
TTP: masquerading, T1036 - CWE-119: 1.0000 (Total CWE: 42, Total TTP: 1)
TTP: masquerading, T1036 - CWE-284: 1.0000 (Total CWE: 2, Total TTP: 1)
TTP: non-standard port, T1571 - CWE-287: 1.0000 (Total CWE: 4, Total TTP: 1)
TTP: non-standard port, T1571 - CWE-22: 1.0000 (Total CWE: 6, Total TTP: 1)
TTP: non-standard port, T1571 - CWE-200: 1.0000 (Total CWE: 12, Total TTP: 1)
TTP: non-standard port, T1571 - CWE-78: 1.0000 (Total CWE: 7, Total TTP: 1)
TTP: non-standard port, T1571 - CWE-89: 1.0000 (Total CWE: 4, Total TTP: 1)
TTP: modify registry, T1112 - CWE-119: 1.0000 (Total CWE: 42, Total TTP: 2)
TTP: dynamic resolution, T1568 - CWE-119: 1.0000 (Total CWE: 42, Total TTP: 1)
TTP: dynamic resolution, T1568 - CWE-94: 1.0000 (Total CWE: 13, Total TTP: 1)
TTP: data obfuscation, T1001 - CWE-787: 1.0000 (Total CWE: 23, Total TTP: 1)
TTP: remote services, T1021 - CWE-20: 1.0000 (Total CWE: 33, Total TTP: 1)
TTP: rootkit, T1014 - CWE-119: 0.8333 (Total CWE: 42, Total TTP: 6)
TTP: collection, TA0009 - CWE-119: 0.6000 (Total CWE: 42, Total TTP: 10)
TTP: windows management instrumentation, T1047 - CWE-732: 0.5000 (Total CWE: 2, Total TTP: 2)
TTP: windows management instrumentation, T1047 - CWE-22: 0.5000 (Total CWE: 6, Total TTP: 2)
TTP: windows management instrumentation, T1047 - CWE-269: 0.5000 (Total CWE: 4, Total TTP: 2)
TTP: windows management instrumentation, T1047 - CWE-78: 0.5000 (Total CWE: 7, Total TTP: 2)
TTP: windows management instrumentation, T1047 - CWE-611: 0.5000 (Total CWE: 3, Total TTP: 2)
TTP: lateral movement, TA0008 - CWE-732: 0.5000 (Total CWE: 2, Total TTP: 2)
TTP: lateral movement, TA0008 - CWE-22: 0.5000 (Total CWE: 6, Total TTP: 2)
TTP: lateral movement, TA0008 - CWE-119: 0.5000 (Total CWE: 42, Total TTP: 2)
TTP: lateral movement, TA0008 - CWE-287: 0.5000 (Total CWE: 4, Total TTP: 2)
TTP: brute force, T1110 - CWE-125: 0.5000 (Total CWE: 5, Total TTP: 2)
TTP: brute force, T1110 - CWE-119: 0.5000 (Total CWE: 42, Total TTP: 2)
TTP: brute force, T1110 - CWE-94: 0.5000 (Total CWE: 13, Total TTP: 2)
TTP: brute force, T1110 - CWE-426: 0.5000 (Total CWE: 2, Total TTP: 2)
TTP: persistence, TA0003 - CWE-119: 0.4444 (Total CWE: 42, Total TTP: 9)
TTP: exfiltration, TA0010 - CWE-22: 0.4286 (Total CWE: 6, Total TTP: 7)
TTP: impact, TA0040 - CWE-20: 0.4118 (Total CWE: 33, Total TTP: 34)
TTP: initial access, TA0001 - CWE-20: 0.4000 (Total CWE: 33, Total TTP: 5)
TTP: initial access, TA0001 - CWE-22: 0.4000 (Total CWE: 6, Total TTP: 5)
TTP: reconnaissance, TA0043 - CWE-119: 0.4000 (Total CWE: 42, Total TTP: 5)
TTP: browser extensions, T1176 - CWE-200: 0.4000 (Total CWE: 12, Total TTP: 5)
TTP: phishing, T1566 - CWE-119: 0.3750 (Total CWE: 42, Total TTP: 24)
TTP: command and control, TA0011 - CWE-119: 0.3750 (Total CWE: 42, Total TTP: 8)
TTP: proxy, T1090 - CWE-20: 0.3571 (Total CWE: 33, Total TTP: 14)
TTP: proxy, T1090 - CWE-119: 0.3571 (Total CWE: 42, Total TTP: 14)
TTP: execution, TA0002 - CWE-119: 0.3529 (Total CWE: 42, Total TTP: 85)
